Course, Room, Semester, Period
SPH4U1, 2044, 1, 1, 
SPH4U1, 2044, 2, 3, 
SPH4U1, 2044, 1, 4, 
SPH4U1, 2044, 2, 2, 
SPH4U1, 2044, 2, 1, 
PPL1O9, 1024A, 1, 3, 
PPL1O9, 1024A, 2, 2, 
PPL1O9, 1024A, 1, 4, 
PPL1O9, 1024A, 2, 4, 
PPL1O9, 1024A, 1, 2, 
PPL1O9, 1012, 2, 3, 
SBI4U1, 2011, 1, 1, 
SBI4U1, 1055, 2, 4, 
SBI4U1, 1044, 1, 3, 
SBI4U1, 1055, 2, 2, 
SBI4U1, 2018, 1, 4, 
SBI4U1, 1055, 2, 3, 
AVI1O1, 2004, 2, 3, 
AVI1O1, 2004, 1, 3, 
AVI1O1, 2004, 2, 4, 
AVI1O1, 2004, 1, 2, 
FSF1D1, 1033, 1, 2, 
FSF1D1, 1033, 2, 3, 
FSF1D1, 1033, 1, 1, 
FSF1D1, 1033, 2, 1, 
FSF1D1, 1033, 1, 3, 
FSF1D1, 1033, 2, 2, 
FSF1D1, 1033, 1, 4, 
BBI2O1, PB10, 2, 3, 
BBI2O1, PB10, 1, 4, 
BBI2O1, PB10, 2, 1, 
BBI2O1, PB10, 1, 2, 
BBI2O1, PB10, 2, 4, 
BBI2O1, PB10, 1, 1, 
BBI2O1, PB10, 2, 2, 
SCH3U1, 1055, 1, 2, 
SCH3U1, 1044, 2, 4, 
SCH3U1, 1055, 1, 4, 
SCH3U1, 2023, 1, 1, 
SCH3U1, 2023, 1, 3, 
SCH3U1, 2023, 2, 3, 
SCH3U1, 1044, 2, 1, 
MCR3U1, PB10, 1, 3, 
MCR3U1, 2037, 2, 4, 
MCR3U1, PB4, 1, 3, 
MCR3U1, 2037, 2, 3, 
MCR3U1, 2037, 1, 2, 
MCR3U1, 2037, 2, 1, 
MCR3U1, 1059A, 2, 1, 
SCH4U1, 2023, 2, 2, 
SCH4U1, 2023, 1, 1, 
SCH4U1, 2023, 2, 4, 
SCH4U1, 1044, 2, 2, 
SCH4U1, 1050, 1, 3, 
SCH4U1, 1044, 1, 3, 
SCH4U1, 1055, 2, 1, 
MCV4U1, PB3, 2, 2, 
MCV4U1, PB3, 2, 3, 
MCV4U1, PB3, 2, 4, 
MCV4U1, PB4, 2, 1, 
