Course Code,Course Title,Grade,Type,Credits,Prequisites,Corequisites,Special,Caps (Per Class
CIA4UE,Analysing Current Economic Issues,12,,,,,,30
CIE3M1,The Individual and the Economy,11,,,,,,28
CIVCAR ESL,Civics and Careers,10,Open,1,[],[],[],35
CIVCAR,Civics and Careers,10,Open,1,[],[],[],35
CLN4U1,Canadian & International Law,12,University,1,"[CGF3M1, CGR4M1, CGW4U1, SES4U1, ENG3C1, ENG3U1, ENG4C1, ETS4U1, EWC4U1, HRT3M1, HHG4M1, HZT4U1, CHA3U1, CHW3M1, CHI4U1, CHY4U1, NBV3C1, ENG3C2, ENG3U2]",[],"Any U or U/M course in Canadian and World Studies, English, or Social Sciences and Humanities.",35
CLU3M1,Understanding Canadian Law,11,University/College,1,"[CHC2D1, CHC2P1]",[],[],35
COP3X&,CoOp Sem 1 or 2 PM,11,,,,,,27
COP3X#,Co Op Sem 1 or 2 Am or Pm,11,,,,,,27
COP3X0,Grade 11 Co-op - Half day,11,Open,2,[],,[],27
COP3X1,Grade 11 Co-op - Full day (semester one),11,Open,2,[],[COP3X2],[],27
COP3X2,Grade 11 Co-op - Full day (Semester one),11,Co-Op,2,[],[COP3X1],[],27
COP3X4,Grade 11 Co-op - Full day (semester two),11,Co-Op,2,[],[COP3X5],[],27
COP3X5,Grade 11 Co-op - Full day (semester two),11,Co-Op,2,[],[COP3X4],[],27
COP3X9,CoOp Sem 2 Am or PM,11,,,,,,27
COP4X0,Grade 12 Co-op - Half day,12,Open,2,[],,[],27
COP4X1,Grade 12 Co-op - Full day (semester one),12,Co-Op,2,[],[COP4X2],[],27
COP4X2,Grade 12 Co-op - Full day (semester one),12,Co-Op,2,[],[COP4X1],[],27
COP4X4,Grade 12 Co-op - Full day (semester two),12,Co-Op,2,[],[COP4X5],[],27
COP4X4,Grade 12 Co-op - Full day (semester two),12,Co-Op,2,[],[COP4X5],[],27
COP4X5,Grade 12 Co-op - Full day (semester two),12,Co-Op,2,[],[COP4X4],[],27
CPW4U1,Canadian and World Politics,12,,,,,,30
DCO3OC,Creating Opportunities through Co-o,11,,,,,,28
DCO3OT,Creating Opportunities through Co-o,11,,,,,,28
ELS2O1,Literacy Skills: Reading and Writing,10,,,,,,28
ELS2OZ,Literacy Skills,9,Open,1,[],"[GLE1OZ], [KCWANZ]",[],29
ENG1D1,English,9,Academic,1,[],[],[],29
ENG1D2,English,9,,,,,,29
ENG1DG,English,9,,,,,,29
ENG1DY,English,9,,,,,,29
ENG1L1,English - Locally Developed,9,Locally-Developed,1,[],,[],16
ENG1P1,English,9,Applied,1,[],,[],22
ENG1PK,English,9,,,,,,22
ENG1PV,Language Intensive English,9,Applied,1,[],"[MFM1PV], [SNC1PV], [CGC1PV]",[],8
ENG2D+,English,10,,,,,,29
ENG2D1,English,10,Acedemic,1,"[ENG1D1, ENG1P1, ESLDO1, ESLEO1]",[],[],27
ENG2DG,English,10,,,,,,29
ENG2DO,English,10,,,,,,29
ENG2L1,English - Locally Developed,10,Locally-Developed,1,[],[],[],29
ENG2P1,English,10,Applied,1,"[ENG1D1, ENG1P1, ENG1PV, ESLDO1, ESLEO1]",[],[],22
ENG2PV,Language Intensive English,10,Applied,1,[ENG1PV],"[SNC2PV], [CHC2PV]",[],10
ENG3C1,English,11,College,1,"[ENG2D1, ENG2P1, ENG2PV, ESLEO1]",[],[],28
ENG3CK,English,11,,,,,,28
ENG3E1,English,11,Workplace,1,"[ENG2D1, ENG2P1, ENG2L1, ENG2PV, ESLDO1]",[],[],28
ENG3U1,English,11,University,1,"[ENG2D1, ESLEO1]",[],[],30
ENG3U2,Outdoor Adventure Leadership Program - UNIVERSITY LEVEL ENGLISH,11,University,1,"[ENG2D1, ESLEO1]","[GPP3O2], [PAD3O2], [PPL3O2], [COP3X6]",[],28
ENG3UB,English,11,,,,,,30
ENG3UE,English,11,,,,,,30
